"genus","species","newcarabids_carabidid_carabids_other","newcarabids_carabididref_carabids_other","newcarabids_countries_carabids_other","newcarabids_distributionarea_carabids_other","newcarabids_distributioncenterlatitude_carabids_other","newcarabids_distributioncenterlongitude_carabids_other","newcarabids_eyesize_carabids_other","newcarabids_hindwingdevelopment_carabids_other","newcarabids_isactive_carabids_other","newcarabids_range_carabids_other","newcarabids_referenceid_carabids_other","newcarabids_region_carabids_other","newcarabids_subfamily_carabids_other","newcarabids_subgenus_carabids_other","newcarabids_tribe_carabids_other","newcarabids_yearofdesc_carabids_other","newmartin2019_family_martin2019_other","newmartin2019_speciesid_martin2019_other","newmartin2019_taxonomic_group_martin2019_other","newsesync_aphidalter_sesync_other","newsesync_code_sesync_other","newsesync_overwinter_sesync_other","newsesync_realm_sesync_other","newsesync_region_sesync_other","newsesync_speciesid_sesync_other","newsesync_system_sesync_other","newtamburini_n..studies_tamburini_other","newtamburini_order_tamburini_other","newtamburini_specieslatin_tamburini_other","newjeppsson_adult.activity.period..days._jeppsson_other","newjeppsson_generation.time..years._jeppsson_other","newjeppsson_red.list.classification..2010._jeppsson_other","newjeppsson_species.name_jeppsson_other","newglobalants_activity_globalants_other","newglobalants_caste_globalants_other","newglobalants_colony.type_globalants_other","newarthropodtraits_family_arthropodtraits_other","newarthropodtraits_order_arthropodtraits_other","newarthropodtraits_speciesid_arthropodtraits_other","newarthropodtraits_suborder_arthropodtraits_other","newcarabids_hibernation_carabids_other","newcarabids_subtribe_carabids_other","newsesync_host_alternating_sesync_other","newemerystickytrap_family_emerysticky_other","newemerystickytrap_functionalgroup_emerysticky_other","newemerystickytrap_location_emerysticky_other","newemerystickytrap_number_emerysticky_other","newemerystickytrap_order_emerysticky_other","newemerystickytrap_presence_emerysticky_other","newcarabids_reprospring_carabids_other","newcarabids_reprosummer_carabids_other","newcarabids_activityend_carabids_other","newcarabids_activitystart_carabids_other","newemerystickytrap_moreinfo_emerysticky_other","newcarabids_reproautumn_carabids_other","newemerypitfalltrap_bnhm_id_emerypit_other","newemerypitfalltrap_extrainfo_emerypit_other","newemerypitfalltrap_family_emerypit_other","newemerypitfalltrap_functionalgroup_emerypit_other","newemerypitfalltrap_idverified_emerypit_other","newemerypitfalltrap_number_emerypit_other","newemerypitfalltrap_order_emerypit_other","newemerypitfalltrap_sizecat_emerypit_other","newemerypitfalltrap_guild_emerypit_other","newemerypitfalltrap_subtribe_emerypit_other","newemerypitfalltrap_tribe_emerypit_other","newemerypitfalltrap_class_emerypit_other"
"agonum","impressum","203","203","AUCTENFRGEHUITLALTNLNTPLSKSLSTSZUKESFEKZWSYUN","350","51","9",NA,"winged","1",NA,"203","Central Europe","Harpalinae","Agonum","Platynini","1796",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","longicorne","220","220","ABALAUBHBUCRFRGEGRHUITLAMDROSKSTUKYUTR","350","51","9","25 - 50 %","winged","1","widespread","220","Central Europe","Harpalinae","Agonum","Platynini","1846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","lugens","221","221","ABAUBEBHBUCRCTCZDEENFIFRGEGGGRHUIRITLALTMDNLPLPTROSKSPSTSVSZUKYUMOTUINKZTDTRWS","350","51","9","25 - 50 %","winged","1","widespread","221","Central Europe","Harpalinae","Agonum","Platynini","1812","Carabidae","Agonum lugens","carabid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Imago",NA,NA,NA,NA,NA,NA,NA,NA,"checked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","marginatum","223","223","AUAZBEBHBUCRCTCZDEENFIFRGBGEGRHUIRITLALTMDNLNRNTPLPTSKSLSPSTSVSZYUCIMOMRTR","350","51","9","25 - 50 %","winged","1","widespread","223","Central Europe","Harpalinae","Agonum","Platynini","1758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Imago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","micans","226","226","AUBEBHBUCRCTCZDEENFIFRGBGEGRHUIRITLALSLTMDNLNRNTPLSKSTSVSZUKYUESKZWS","350","51","9","25 - 50 %","winged","1","widespread","226","Central Europe","Harpalinae","Europhilus","Platynini","1822","Carabidae","Agonum micans","carabid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Imago",NA,NA,NA,NA,NA,NA,NA,NA,"checked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","monachum","228","228","AUBHBUCRCTCZFRGEGRHUITMDNTPLSKSPSTSZUKKZTRWS","350","51","9","25 - 50 %","winged","1","widespread","228","Central Europe","Harpalinae","Agonum","Platynini","1812",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","muelleri","230","230","ALAUAZBEBHBUCRCTCZDEENFIFRGBGEHUIRITLALSLTMAMDNLNRNTPLPTSKSLSPSTSVSZUKYUTRWS","350","51","9","25 - 50 %","winged","1","widespread","230","Central Europe","Harpalinae","Agonum","Platynini","1784","Carabidae","Agonum muelleri","carabid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Imago",NA,NA,NA,NA,NA,NA,NA,NA,"checked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","munsteri","231","231","BEDEENFIGENLNRNTSVES","350","51","9","25 - 50 %","winged","1","widespread","231","Central Europe","Harpalinae","Europhilus","Platynini","1935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Imago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","nigrum","234","234","AUCRFRGBGEGRHUIRITNLPTSPSTSZUKMOKZTMTR","350","51","9","25 - 50 %","winged","1","widespread","234","Central Europe","Harpalinae","Agonum","Platynini","1828","Carabidae","Agonum nigrum","carabid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","pelidnum","238","238","GE","350","51","9",NA,"winged","1",NA,"238","Central Europe","Harpalinae",NA,"Platynini","1784",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","permoestum","239","239","ALBHBUCRFRGEGRHUITPTROSKSP","350","51","9","25 - 50 %","winged","1","widespread","239","Central Europe","Harpalinae","Agonum","Platynini","1938","Carabidae","Agonum permoestum aggregate","carabid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Imago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","piceum","241","241","AUBEBHBUCTCZDEENFIFRGBGEHUIRITLALTMDNLNRNTPLSKSLSTSVSZUKESFEJAWS","350","51","9","25 - 50 %","winged","1","widespread","241","Central Europe","Harpalinae","Europhilus","Platynini","1758",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Imago",NA,NA,NA,NA,NA,NA,NA,NA,"checked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","scitulum","253","253","BECTENFRGBGEHUIRITLANLROSZ","350","51","9","25 - 50 %","winged","1","widespread","253","Central Europe","Harpalinae","Europhilus","Platynini","1828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","sexpunctatum","256","256","AUBEBHBUCRCTCZDEENFIFRGBGEHUITLALSLTMAMDNLNRNTPLPTROSKSLSPSTSVSZUKYUESFEKZTRWS","350","51","9","25 - 50 %","winged","1","widespread","256","Central Europe","Harpalinae","Agonum","Platynini","1758","Carabidae","Agonum sexpunctatum","carabid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Imago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","versutum","275","275","AUBEBHBUCRCTCZDEENFIFRGBGEHUIRITLALTMDNLNRNTPLSKSLSTSVSZUK","350","51","9","25 - 50 %","winged","1","widespread","275","Central Europe","Harpalinae","Agonum","Platynini","1824",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Imago",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","viduum","276","276","AUBEBHBUCRCTCZDEENFIFRGBGEGGHUICIRITLALSLTMDNLNRNTPLPTROSKSLSPSTSVSZUKYUESKZWS","350","51","9","25 - 50 %","winged","1","widespread","276","Central Europe","Harpalinae","Agonum","Platynini","1796","Carabidae","Agonum viduum","carabid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Imago",NA,NA,NA,NA,NA,NA,NA,NA,"checked",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agonum","viridicupreum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carabidae","Agonum viridicupreum","carabid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Linyphiidae","Agyneta","spider",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","affinis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Linyphiidae","Agyneta affinis","spider",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","decora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Linyphiidae","Agyneta decora","spider",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","fuscipalpa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Linyphiidae","Agyneta fuscipalpa","spider",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","mollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Linyphiidae","Agyneta mollis","spider",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","rurestris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Linyphiidae","Agyneta rurestris","spider",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","saxatilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Linyphiidae","Agyneta saxatilis","spider",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agyneta","simplicitarsis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Linyphiidae","Agyneta simplicitarsis","spider",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Staphylinidae","Aleochara","staphylinid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","bilineata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Staphylinidae","Aleochara bilineata","staphylinid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","bipustulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Staphylinidae","Aleochara bipustulata","staphylinid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Staphylinidae","Coleoptera","Aleochara bipustulata","Polyphaga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","brevipennis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Staphylinidae","Aleochara brevipennis","staphylinid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","curtula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Staphylinidae","Aleochara curtula","staphylinid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","laevigata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Staphylinidae","Aleochara laevigata","staphylinid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Staphylinidae","Coleoptera","Aleochara laevigata","Polyphaga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","lygaea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Staphylinidae","Coleoptera","Aleochara lygaea","Polyphaga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","ruficornis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Staphylinidae","Aleochara ruficornis","staphylinid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","sparsa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Staphylinidae","Aleochara sparsa","staphylinid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aleochara","tristis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Staphylinidae","Coleoptera","Aleochara tristis","Polyphaga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"allodynerus","rossii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Vespidae","Allodynerus rossii","aculeate wasp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alloxysta","victrix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Figitidae","Alloxysta victrix","parasitoid wasp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aloconota","gregaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Staphylinidae","Aloconota gregaria","staphylinid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","accentuata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lycosidae","Alopecosa accentuata","spider",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","aculeata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lycosidae","Alopecosa aculeata","spider",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","albofasciata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lycosidae","Alopecosa albofasciata","spider",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","cuneata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lycosidae","Alopecosa cuneata","spider",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lycosidae","Araneae","Alopecosa cuneata","Labidognatha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","fabrilis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lycosidae","Alopecosa fabrilis","spider",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","pulverulenta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lycosidae","Alopecosa pulverulenta","spider",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","simoni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lycosidae","Alopecosa simoni","spider",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alopecosa","trabalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lycosidae","Alopecosa trabalis","spider",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lycosidae","Araneae","Alopecosa trabalis","Labidognatha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"alosterna","tabacicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56","2","0","Alosterna tabacicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carabidae","Amara","carabid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","aenea","302","302","ABALANARAUAZiBEBHBUBYCRCTCZDEENFIFRGBGEGGGRHUIRITKZLALTLUMAMCMDNLNRNTPLPTROSKSLSPSTSVSZTRUKYUAGCIEGLBMOMRTUAFCYESHPINIQISJOKAKIKZLEMGNPPASYTDTMTRUPUZWSXIN","350","51","9","10 - 25 %","winged","1","widespread","302","Central Europe","Harpalinae","Amara","Zabrini","1774","Carabidae","Amara aenea","carabid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carabidae","Coleoptera","Amara aenea","Adephaga","Imago","Amarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"amara","anthobia","322","322","ALABARAUBEBHBUCRCTCZDEFRGBGEGGGRHUITLUMCMDNLPLPTROSKSLSPSTSVSZUKYUAGMOTUISLESYTR","350","51","9","10 - 25 %","winged","1","widespread","322","Central Europe","Harpalinae","Amara","Zabrini","1812","Carabidae","Amara anthobia","carabid beetle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Imago","Amarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
